id,title,company,location,link,date_posted
962,"Data Analyst (Remote, Graveyard)",Anytime Mailbox,Philippines,https://ph.linkedin.com/jobs/view/data-analyst-remote-graveyard-at-anytime-mailbox-4234783729,5/22/2025
963,"Quant Analytics Analyst - SQL, Python",JPMorganChase,Bengaluru,https://in.linkedin.com/jobs/view/quant-analytics-analyst-sql-python-at-jpmorganchase-4232222983,5/20/2025
965,Data Analyst,Cognizant,Dublin,https://ie.linkedin.com/jobs/view/data-analyst-at-cognizant-4232642141,5/22/2025
1025,Junior Data Analyst,AARATECH,New York City,https://www.linkedin.com/jobs/view/junior-data-analyst-at-aaratech-4234707579,5/21/2025
1077,Data Visualisation & Insights Analyst,Nixor,Gaydon,https://uk.linkedin.com/jobs/view/data-visualisation-insights-analyst-at-nixor-4230840534,5/19/2025
1079,Senior Data Analyst [T500-18077],Careem,Bengaluru,https://in.linkedin.com/jobs/view/senior-data-analyst-t500-18077-at-careem-4234212062,5/21/2025
1081,Analista de Dados II,Meta,Brazil,https://br.linkedin.com/jobs/view/analista-de-dados-ii-at-meta-4230892742,5/19/2025
1082,Business Intelligence Analyst,Mastek,Bengaluru,https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-mastek-4231858297,5/20/2025
1083,Data Analytics Analyst (H/F),ODDO BHF,Frankfurt,https://de.linkedin.com/jobs/view/data-analytics-analyst-h-f-at-oddo-bhf-4231142401,5/20/2025
1084,Marketing Data Analyst,Nicholson Glover,London,https://uk.linkedin.com/jobs/view/marketing-data-analyst-at-nicholson-glover-4232526384,5/21/2025
1085,Analista de Business Intelligence J̼nior,iFood,Brazil,https://br.linkedin.com/jobs/view/analista-de-business-intelligence-j%C3%BAnior-at-ifood-4233158988,5/19/2025
1206,Data Scientist (L5) - Content,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-content-at-netflix-4179694651,5/16/2025
1207,AI Research Scientist,Zoom,Seattle,https://www.linkedin.com/jobs/view/ai-research-scientist-at-zoom-4197423083,5/15/2025
1208,Data Scientist (L5) - Customer Service,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-customer-service-at-netflix-4231868796,5/20/2025
1209,"Data Scientist, Product Analytics",Handshake,San Francisco,https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-handshake-4232230537,5/20/2025
1210,"Data Scientist (L6), Games",Netflix,California,https://www.linkedin.com/jobs/view/data-scientist-l6-games-at-netflix-4232596902,5/21/2025
1211,Data Scientist (L5) - Customer Service Experimentation,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-customer-service-experimentation-at-netflix-4231869729,5/20/2025
1213,Growth Data Scientist/ Analyst,Crypto.com,United States,https://www.linkedin.com/jobs/view/growth-data-scientist-analyst-at-crypto-com-4202438901,5/20/2025
1214,Data Scientist,Warner Music Group,New York City,https://www.linkedin.com/jobs/view/data-scientist-at-warner-music-group-4197998463,5/16/2025
1215,"Data Scientist, Customer Analytics (Remote)",Experian,United States,https://www.linkedin.com/jobs/view/data-scientist-customer-analytics-remote-at-experian-4233179036,5/20/2025
1216,Data Scientist,Twitch,San Francisco,https://www.linkedin.com/jobs/view/data-scientist-at-twitch-4216487167,5/20/2025
1217,Data Scientist (L5) - Member Algorithm Foundations,Netflix,United States,https://www.linkedin.com/jobs/view/data-scientist-l5-member-algorithm-foundations-at-netflix-4138391092,5/19/2025
1218,Data Scientist,StreetID,New York City Metropolitan Area,https://www.linkedin.com/jobs/view/data-scientist-at-streetid-3819704675,5/21/2025
